Date	Country	Type	Order Category	Product	New	Total
2024-06-20 00:00:00	USA	Base	Commercial	Pluvicto	555	55
2024-06-21 00:00:00	USA	Base	Commercial	Pluvicto	66	66
2024-06-22 00:00:00	USA	Base	Commercial	Pluvicto	5	6
2024-06-23 00:00:00	USA	Base	Commercial	Pluvicto	7	8
2024-06-24 00:00:00	USA	Base	Commercial	Pluvicto	9	10
2024-06-25 00:00:00	USA	Base	Commercial	Pluvicto	11	12
2024-06-26 00:00:00	USA	Base	Commercial	Pluvicto	13	14
2024-06-27 00:00:00	USA	Base	Commercial	Pluvicto	15	16
2024-06-28 00:00:00	USA	Base	Commercial	Pluvicto	17	18
2024-06-29 00:00:00	USA	Base	Commercial	Pluvicto	19	20
2024-06-30 00:00:00	USA	Base	Commercial	Pluvicto	21	22
2024-07-01 00:00:00	USA	Base	Commercial	Pluvicto	23	24
2024-07-02 00:00:00	USA	Base	Commercial	Pluvicto	25	26
2024-07-03 00:00:00	USA	Base	Commercial	Pluvicto	27	28
2024-07-04 00:00:00	USA	Base	Commercial	Pluvicto	29	30
2024-07-05 00:00:00	USA	Base	Commercial	Pluvicto	31	32
2024-07-06 00:00:00	USA	Base	Commercial	Pluvicto	33	34
2024-07-07 00:00:00	USA	Base	Commercial	Pluvicto	35	36
2024-07-08 00:00:00	USA	Base	Commercial	Pluvicto	37	38
2024-07-09 00:00:00	USA	Base	Commercial	Pluvicto	39	40
2024-07-10 00:00:00	USA	Base	Commercial	Pluvicto	41	42
2024-07-11 00:00:00	USA	Base	Commercial	Pluvicto	43	44
2024-07-12 00:00:00	USA	Base	Commercial	Pluvicto	45	46
2024-07-13 00:00:00	USA	Base	Commercial	Pluvicto	47	48
2024-07-14 00:00:00	USA	Base	Commercial	Pluvicto	49	50
2024-07-15 00:00:00	USA	Base	Commercial	Pluvicto	51	52
2024-07-16 00:00:00	USA	Base	Commercial	Pluvicto	53	54
2024-07-17 00:00:00	USA	Base	Commercial	Pluvicto	55	56
2024-07-18 00:00:00	USA	Base	Commercial	Pluvicto	57	58
2024-07-19 00:00:00	USA	Base	Commercial	Pluvicto	59	60
2024-07-20 00:00:00	USA	Base	Commercial	Pluvicto	61	62
2024-07-21 00:00:00	USA	Base	Commercial	Pluvicto	63	64
2024-07-22 00:00:00	USA	Base	Commercial	Pluvicto	65	66
2024-07-23 00:00:00	USA	Base	Commercial	Pluvicto	67	68
2024-07-24 00:00:00	USA	Base	Commercial	Pluvicto	69	70
2024-07-25 00:00:00	USA	Base	Commercial	Pluvicto	71	72
2024-07-26 00:00:00	USA	Base	Commercial	Pluvicto	73	74
2024-07-27 00:00:00	USA	Base	Commercial	Pluvicto	75	76
2024-07-28 00:00:00	USA	Base	Commercial	Pluvicto	77	78
2024-07-29 00:00:00	USA	Base	Commercial	Pluvicto	79	80
2024-07-30 00:00:00	USA	Base	Commercial	Pluvicto	81	82
2024-07-31 00:00:00	USA	Base	Commercial	Pluvicto	83	84
2024-08-01 00:00:00	USA	Base	Commercial	Pluvicto	85	86
2024-08-02 00:00:00	USA	Base	Commercial	Pluvicto	87	88
2024-08-03 00:00:00	USA	Base	Commercial	Pluvicto	89	90
2024-08-04 00:00:00	USA	Base	Commercial	Pluvicto	91	92
2024-08-05 00:00:00	USA	Base	Commercial	Pluvicto	93	94
2024-08-06 00:00:00	USA	Base	Commercial	Pluvicto	95	96
2024-08-07 00:00:00	USA	Base	Commercial	Pluvicto	97	98
2024-08-08 00:00:00	USA	Base	Commercial	Pluvicto	99	100
2024-08-09 00:00:00	USA	Base	Commercial	Pluvicto	101	102
2024-08-10 00:00:00	USA	Base	Commercial	Pluvicto	103	104
2024-08-11 00:00:00	USA	Base	Commercial	Pluvicto	105	106
2024-08-12 00:00:00	USA	Base	Commercial	Pluvicto	107	108
2024-08-13 00:00:00	USA	Base	Commercial	Pluvicto	109	110
2024-08-14 00:00:00	USA	Base	Commercial	Pluvicto	111	112
2024-08-15 00:00:00	USA	Base	Commercial	Pluvicto	113	114
2024-08-16 00:00:00	USA	Base	Commercial	Pluvicto	115	116
2024-08-17 00:00:00	USA	Base	Commercial	Pluvicto	117	118
2024-08-18 00:00:00	USA	Base	Commercial	Pluvicto	119	120
