Date	Country	Type	Order_Category	Product	New	Total
2024-06-20 	USA	Base	Commercial	Pluvicto	1431	2431
2024-06-21 	USA	Base	Commercial	Pluvicto	1432	2432
2024-06-22 	USA	Base	Commercial	Pluvicto	1433	2433
2024-06-23 	USA	Base	Commercial	Pluvicto	1434	2434
2024-06-24 	USA	Base	Commercial	Pluvicto	1435	2435
2024-06-25 	USA	Base	Commercial	Pluvicto	1436	2436
2024-06-26 	USA	Base	Commercial	Pluvicto	1437	2437
2024-06-27 	USA	Base	Commercial	Pluvicto	1438	2438
2024-06-28 	USA	Base	Commercial	Pluvicto	1439	2439
2024-06-29 	USA	Base	Commercial	Pluvicto	1440	2440
2024-06-30 	USA	Base	Commercial	Pluvicto	1441	2441
2024-07-01 	USA	Base	Commercial	Pluvicto	1442	2442
2024-07-02 	USA	Base	Commercial	Pluvicto	1443	2443
2024-07-03 	USA	Base	Commercial	Pluvicto	1444	2444
2024-07-04 	USA	Base	Commercial	Pluvicto	1445	2445
2024-07-05 	USA	Base	Commercial	Pluvicto	1446	2446
2024-07-06 	USA	Base	Commercial	Pluvicto	1447	2447
2024-07-07 	USA	Base	Commercial	Pluvicto	1448	2448
2024-07-08 	USA	Base	Commercial	Pluvicto	1449	2449
2024-07-09 	USA	Base	Commercial	Pluvicto	1450	2450
2024-07-10 	USA	Base	Commercial	Pluvicto	1451	2451
2024-07-11 	USA	Base	Commercial	Pluvicto	1452	2452
2024-07-12 	USA	Base	Commercial	Pluvicto	1453	2453
2024-07-13 	USA	Base	Commercial	Pluvicto	1454	2454
2024-07-14 	USA	Base	Commercial	Pluvicto	1455	2455
2024-07-15 	USA	Base	Commercial	Pluvicto	1456	2456
2024-07-16 	USA	Base	Commercial	Pluvicto	1457	2457
2024-07-17 	USA	Base	Commercial	Pluvicto	1458	2458
2024-07-18 	USA	Base	Commercial	Pluvicto	1459	2459
2024-07-19 	USA	Base	Commercial	Pluvicto	1460	2460
2024-07-20 	USA	Base	Commercial	Pluvicto	1461	2461
2024-07-21 	USA	Base	Commercial	Pluvicto	1462	2462
2024-07-22 	USA	Base	Commercial	Pluvicto	1463	2463
2024-07-23 	USA	Base	Commercial	Pluvicto	1464	2464
2024-07-24 	USA	Base	Commercial	Pluvicto	1465	2465
2024-07-25 	USA	Base	Commercial	Pluvicto	1466	2466
2024-07-26 	USA	Base	Commercial	Pluvicto	1467	2467
2024-07-27 	USA	Base	Commercial	Pluvicto	1468	2468
2024-07-28 	USA	Base	Commercial	Pluvicto	1469	2469
2024-07-29 	USA	Base	Commercial	Pluvicto	1470	2470
2024-07-30 	USA	Base	Commercial	Pluvicto	1471	2471
2024-07-31 	USA	Base	Commercial	Pluvicto	1472	2472
2024-08-01 	USA	Base	Commercial	Pluvicto	1473	2473
2024-08-02 	USA	Base	Commercial	Pluvicto	1474	2474
2024-08-03 	USA	Base	Commercial	Pluvicto	1475	2475
2024-08-04 	USA	Base	Commercial	Pluvicto	1476	2476
2024-08-05 	USA	Base	Commercial	Pluvicto	1477	2477
2024-08-06 	USA	Base	Commercial	Pluvicto	1478	2478
2024-08-07 	USA	Base	Commercial	Pluvicto	1479	2479
2024-08-08 	USA	Base	Commercial	Pluvicto	1480	2480
2024-08-09 	USA	Base	Commercial	Pluvicto	1481	2481
2024-08-10 	USA	Base	Commercial	Pluvicto	1482	2482
2024-08-11 	USA	Base	Commercial	Pluvicto	1483	2483
2024-08-12 	USA	Base	Commercial	Pluvicto	1484	2484
2024-08-13 	USA	Base	Commercial	Pluvicto	1485	2485
2024-08-14 	USA	Base	Commercial	Pluvicto	1486	2486
2024-08-15 	USA	Base	Commercial	Pluvicto	1487	2487
2024-08-16 	USA	Base	Commercial	Pluvicto	1488	2488
2024-08-17 	USA	Base	Commercial	Pluvicto	1489	2489
2024-08-18 	USA	Base	Commercial	Pluvicto	1490	2490
2024-08-19 	USA	Base	Commercial	Pluvicto	1491	2491
2024-08-20 	USA	Base	Commercial	Pluvicto	1492	2492
2024-08-21 	USA	Base	Commercial	Pluvicto	1493	2493
2024-08-22 	USA	Base	Commercial	Pluvicto	1494	2494
2024-08-23 	USA	Base	Commercial	Pluvicto	1495	2495
2024-08-24 	USA	Base	Commercial	Pluvicto	1496	2496
2024-08-25 	USA	Base	Commercial	Pluvicto	1497	2497
2024-08-26 	USA	Base	Commercial	Pluvicto	1498	2498
2024-08-27 	USA	Base	Commercial	Pluvicto	1499	2499
2024-08-28 	USA	Base	Commercial	Pluvicto	1500	2500
2024-08-29 	USA	Base	Commercial	Pluvicto	1501	2501
2024-08-30 	USA	Base	Commercial	Pluvicto	1502	2502
2024-08-31 	USA	Base	Commercial	Pluvicto	1503	2503
